Amount,Hour,AvgUserAmount,FailedAttempts,IsNewDevice,IsUnusualLocation,TransactionFrequency,SenderBank,MerchantCategory,TransactionType,DeviceType,SenderState,FraudFlag,AmountToAvgRatio,IsNightHour
511.1715329695678,2,276.3794078591382,0,0,0,7,SBI,Food,P2M,iOS,Rajasthan,0,1.8428604232551986,1
407.01949121712585,3,645.8253061417143,0,0,0,13,Yes Bank,Shopping,P2P,Android,Uttar Pradesh,0,0.6292572157465204,1
1055.7003866623486,15,1786.0792098260065,0,0,0,14,Axis,Entertainment,P2P,Android,Gujarat,0,0.5907406794605,0
796.7195112513958,21,190.93327995446336,0,1,0,14,Yes Bank,Grocery,P2M,Android,Gujarat,0,4.15102326933828,0
628.8549684525439,15,345.4809281007305,0,0,0,9,Bank of Baroda,Fuel,P2P,iOS,Karnataka,0,1.8149771529985057,0
202.75199716236034,3,264.9327095947369,0,0,0,13,SBI,Recharge,P2P,iOS,West Bengal,0,0.7624184233347617,1
174.48669368900767,15,309.2295803114092,0,0,0,7,Axis,Healthcare,P2P,Android,Tamil Nadu,0,0.5624437666900026,0
404.9134578266051,19,114.93346406256721,2,0,0,2,Kotak,Fuel,P2P,Android,Karnataka,0,3.4926365834120214,0
8674.383095743095,20,894.2538711366851,2,1,1,20,Bank of Baroda,Recharge,P2P,Android,Tamil Nadu,1,9.689299734308227,0
549.1116564873074,3,709.9716088277424,1,1,0,7,Bank of Baroda,Grocery,P2P,Android,Tamil Nadu,0,0.7723397807581777,1
162.60826770401837,14,1476.6334969057045,0,0,0,3,HDFC,Electronics,P2M,iOS,Karnataka,0,0.1100464141104912,0
1073.6861089197446,23,645.1794483360774,0,0,0,11,ICICI,Entertainment,P2M,iOS,Uttar Pradesh,0,1.6615912370542019,1
3302.8587953136134,10,458.3731374828552,2,0,0,7,SBI,Electronics,P2M,Android,West Bengal,0,7.189925848541553,0
541.0774153969825,11,294.0379502421565,0,0,0,7,Axis,Electronics,P2M,Android,Tamil Nadu,0,1.8339248051068875,0
1261.4158212183886,11,741.0825143985548,0,0,0,3,Axis,Entertainment,P2M,Web,Gujarat,0,1.6998322918856867,0
379.89292080599523,8,1026.1497854779054,1,1,0,10,HDFC,Food,P2P,Web,Gujarat,0,0.3698515310785381,0
8975.767385551408,13,942.4216221030999,1,1,1,19,SBI,Entertainment,P2P,Android,Karnataka,1,9.51405731569136,0
122.71835572670484,2,797.2022915000051,0,0,0,1,PNB,Recharge,P2B,iOS,Rajasthan,0,0.1537434269902795,1
699.4365661164896,18,367.5249410805366,0,0,0,4,Axis,Entertainment,P2B,iOS,Maharashtra,0,1.8979354940420066,0
249.16994659942702,18,997.5383011147634,1,0,0,9,ICICI,Entertainment,P2P,Android,Uttar Pradesh,0,0.24953469117935173,0
2336.3506537617973,16,713.5105539484417,1,1,0,5,PNB,Fuel,P2M,Android,Uttar Pradesh,0,3.2698616428419975,0
131.94762436852375,8,253.52803451431112,1,0,0,10,ICICI,Shopping,P2P,Android,Tamil Nadu,0,0.5184011443780856,0
1577.4776594892319,18,484.2524046325461,2,1,1,5,ICICI,Entertainment,P2P,Web,Rajasthan,1,3.2508394485623735,0
5017.898181582005,0,401.9820395865871,3,0,0,12,PNB,Electronics,P2B,Android,Delhi,0,12.451915193862703,1
3473.097185241896,5,884.6071517311169,0,0,0,11,PNB,Fuel,P2P,Android,West Bengal,0,3.9217131190200445,1
2545.9259432474973,21,348.82808526297566,0,0,0,5,Bank of Baroda,Fuel,P2P,Android,Uttar Pradesh,0,7.27764879521795,0
464.6196914742894,18,310.9984486966031,0,1,0,13,SBI,Grocery,P2M,iOS,Tamil Nadu,0,1.4891730821588154,0
13410.672834276078,14,1681.2822654755626,0,0,0,13,HDFC,Food,P2P,iOS,Delhi,0,7.971713849390803,0
23200.340641719526,2,168.47210599847838,2,0,1,18,Yes Bank,Electronics,P2P,iOS,Maharashtra,1,50.0,1
396.4894038515582,0,1916.9054990484842,0,1,0,9,PNB,Electronics,P2P,Web,Uttar Pradesh,0,0.20673041713904333,1
2911.0426960529326,23,1859.9083124396275,0,0,0,2,Axis,Shopping,P2M,iOS,Uttar Pradesh,0,1.5643128017610883,1
777.7682831036317,7,1118.190528755142,0,0,0,12,HDFC,Healthcare,P2M,iOS,Karnataka,0,0.6949382282288711,0
451.2292822462966,17,745.8283943279905,3,0,0,4,PNB,Fuel,P2P,Android,Uttar Pradesh,0,0.6041940634197777,0
6735.342868052874,1,370.05406301962927,0,0,0,9,SBI,Healthcare,P2M,Android,West Bengal,0,18.151917845180865,1
1110.8172165695935,21,2396.9299804727434,0,0,0,12,HDFC,Grocery,P2M,Android,Tamil Nadu,0,0.4632400552207116,0
1555.1852307709473,5,647.8929746100305,0,0,1,3,ICICI,Food,P2P,iOS,Gujarat,0,2.3966744773366937,1
4730.732922535461,21,2530.6556550960295,0,0,0,12,Bank of Baroda,Electronics,P2P,Android,Karnataka,0,1.8686320602143727,0
10167.195251597397,15,2857.9470736761823,1,0,0,8,Bank of Baroda,Grocery,P2P,Android,Tamil Nadu,0,3.5562726379974188,0
8125.186950894842,23,127.46623594321039,1,0,1,9,Kotak,Shopping,P2P,Web,Rajasthan,1,50.0,1
736.3880891742378,19,362.91212099154075,0,0,1,9,HDFC,Grocery,P2M,iOS,Maharashtra,0,2.023532734133237,0
866.435743499469,19,1441.4534340030182,0,1,0,3,Bank of Baroda,Recharge,P2P,Android,Rajasthan,0,0.6006680861058952,0
768.8902788304551,7,510.4666189573063,2,0,0,4,ICICI,Entertainment,P2P,Android,West Bengal,0,1.503304908535266,0
790.9159989187473,2,145.21154695164813,0,0,0,12,Bank of Baroda,Electronics,P2M,iOS,Delhi,0,5.409394917217459,1
293.75262777346205,8,262.6660346936681,0,1,0,1,Yes Bank,Entertainment,P2P,Android,Karnataka,0,1.114108717547746,0
591.4907254003376,8,962.7242855776099,0,0,0,10,Yes Bank,Grocery,P2P,Android,West Bengal,0,0.613755131267473,0
1035.7620420919172,1,100.0,3,0,0,6,HDFC,Fuel,P2M,Android,Karnataka,1,10.255069723682348,1
239.1074167674752,17,507.0336077182597,0,0,0,14,Yes Bank,Food,P2B,Android,Karnataka,0,0.4706527543352546,0
998.6703872432423,6,744.39161103347,1,0,0,9,ICICI,Grocery,P2P,Android,Delhi,0,1.3397928987403098,0
433.6115493080068,4,725.4028308566113,0,0,0,8,ICICI,Grocery,P2M,iOS,Delhi,0,0.5969298726392213,1
2109.87635850067,10,338.306657618121,0,0,0,5,Kotak,Entertainment,P2M,Android,Uttar Pradesh,0,6.2181991161377965,0
210.1944336801222,0,275.36749263734646,0,1,0,1,Kotak,Healthcare,P2M,Android,West Bengal,0,0.7605613513885385,1
2720.799684920668,7,5056.497469139433,1,0,0,7,Yes Bank,Healthcare,P2M,Android,Delhi,0,0.5379735138816847,0
136.73824113541545,14,714.8798437530314,0,0,0,14,HDFC,Shopping,P2B,Android,Uttar Pradesh,0,0.1910072511869579,0
987.8790185297727,4,354.318449837651,0,0,0,14,SBI,Entertainment,P2P,Android,Uttar Pradesh,0,2.780263785855043,1
1438.3721645304604,4,772.5778145500731,0,0,1,8,SBI,Recharge,P2P,Android,West Bengal,0,1.8593761835931706,1
2991.937567246605,11,970.9392870366684,2,0,1,1,Axis,Electronics,P2P,Android,Gujarat,0,3.0783173467230447,0
764.1133074999053,22,406.6623640993085,0,0,0,9,PNB,Healthcare,P2M,iOS,Uttar Pradesh,0,1.8743778547920202,1
128.92208716862945,18,114.79984739158327,0,0,0,12,SBI,Shopping,P2P,Android,Uttar Pradesh,0,1.1133182821275458,0
409.47100992185807,22,337.94573480096034,1,0,0,12,Bank of Baroda,Food,P2P,Android,Uttar Pradesh,0,1.208072466710084,1
2679.682731943763,3,533.1683378538113,0,0,0,6,Axis,Electronics,P2B,iOS,Gujarat,0,5.016551042149424,1
1856.1167385576357,9,771.8190159048926,0,1,0,10,ICICI,Grocery,P2M,Web,Tamil Nadu,0,2.401748275285788,0
2971.328329491046,5,420.37633477703974,0,0,0,12,Kotak,Electronics,P2P,Android,West Bengal,0,7.051483636505706,1
244.9052341457361,13,250.69297304192497,0,1,0,12,Axis,Fuel,P2P,iOS,West Bengal,0,0.9730316710309659,0
8228.784005207286,2,547.1552864924307,0,0,0,3,SBI,Food,P2P,Android,West Bengal,0,15.011775327137913,1
53.22353264434413,17,936.7204574293643,0,0,0,7,Axis,Entertainment,P2P,iOS,Gujarat,0,0.05675842115063732,0
109.28003880237951,14,4584.877503530468,3,1,0,11,HDFC,Healthcare,P2P,Android,Rajasthan,0,0.023829689894300392,0
226.46806017263845,15,564.6816566102556,1,1,0,7,PNB,Recharge,P2P,Android,Tamil Nadu,0,0.40034541959466585,0
